,Car Name,Kilometers Driven,Fuel Type,Transmission Type,Price,City,Year,Brand
83,Tata Nexon,"51,514 km",Petrol,Manual,Rs. 7.75 Lakh,New Delhi,2022,Tata
84,Tata Nexon,"52,000 km",Petrol,Manual,Rs. 7.87 Lakh,New Delhi,2021,Tata
85,Volkswagen Vento,"59,624 km",Petrol,Manual,Rs. 7.97 Lakh,New Delhi,2020,Volkswagen
86,Maruti Suzuki Ertiga,"63,138 km",Petrol,Manual,Rs. 8.67 Lakh,New Delhi,2020,Maruti
87,Ford EcoSport,"83,843 km",Petrol,Automatic,Rs. 8.87 Lakh,New Delhi,2020,Ford
88,Volkswagen Polo,"65,833 km",Petrol,Automatic,Rs. 8.95 Lakh,New Delhi,2019,Volkswagen
89,Hyundai Creta,"83,860 km",Petrol,Manual,Rs. 10.5 Lakh,New Delhi,2019,Hyundai
90,Skoda Octavia,"54,000 km",Petrol,Automatic,Rs. 14.47 Lakh,New Delhi,2018,Skoda
91,Hyundai Creta,"60,950 km",Petrol,Automatic,Rs. 16.37 Lakh,New Delhi,2021,Hyundai
92,Honda City,"50,000 km",Petrol,Manual,Rs. 3.5 Lakh,New Delhi,2013,Honda
93,Maruti Suzuki S-Presso,"36,000 km",Petrol,Manual,Rs. 4.37 Lakh,New Delhi,2020,Maruti
94,Maruti Suzuki Wagon R,"44,688 km",Petrol,Manual,Rs. 4.95 Lakh,New Delhi,2020,Maruti
95,Hyundai Creta,"50,000 km",Petrol,Manual,Rs. 7.7 Lakh,New Delhi,2017,Hyundai
96,Hyundai Verna,"47,000 km",Petrol,Manual,Rs. 9.57 Lakh,New Delhi,2019,Hyundai
97,Hyundai Creta,"41,000 km",Petrol,Automatic,Rs. 9.67 Lakh,New Delhi,2017,Hyundai
98,Honda City,"37,547 km",Petrol,Manual,Rs. 10.95 Lakh,New Delhi,2022,Honda
99,Kia Seltos,"41,238 km",Petrol,Automatic,Rs. 15.65 Lakh,New Delhi,2021,Kia
100,Honda City,"93,685 km",Petrol,Manual,Rs. 4.95 Lakh,New Delhi,2014,Honda
101,Maruti Suzuki Wagon R,"50,324 km",Petrol+CNG,Manual,Rs. 5.25 Lakh,New Delhi,2020,Maruti
102,Honda Jazz,"52,775 km",Petrol,Manual,Rs. 5.5 Lakh,New Delhi,2017,Honda
103,Maruti Suzuki Wagon R,"61,602 km",Petrol+CNG,Manual,Rs. 5.5 Lakh,New Delhi,2021,Maruti
104,Honda Jazz,"57,000 km",Petrol,Automatic,Rs. 6.27 Lakh,New Delhi,2017,Honda
105,Honda BR-V,"69,000 km",Petrol,Manual,Rs. 6.87 Lakh,New Delhi,2016,Honda
106,Hyundai Creta,"65,000 km",Petrol,Manual,Rs. 7.47 Lakh,New Delhi,2015,Hyundai
107,Tata Hexa,"67,000 km",Diesel,Manual,Rs. 8.67 Lakh,New Delhi,2017,Tata
108,Mahindra XUV300,"50,500 km",Petrol,Manual,Rs. 9.47 Lakh,New Delhi,2019,Mahindra
109,Honda CR-V,"82,000 km",Petrol,Automatic,Rs. 10.77 Lakh,New Delhi,2015,Honda
110,MG Hector,"74,428 km",Petrol,Automatic,Rs. 12.95 Lakh,New Delhi,2019,MG
